title,price
iPhone 13 (128GB) - Blue,"₹52,499"
iPhone 15 (128 GB) - Blue,"₹69,900"
iPhone 15 (128 GB) - Black,"₹75,900"
iPhone 13 (128GB) - Blue,"₹79,900"
iPhone 13 (128GB) - Midnight,"₹75,900"
iPhone 14 (128 GB) - Midnight,"₹79,900"
iPhone 13 (128GB) - Green,"₹52,499"
iPhone 15 (128 GB) - Blue,"₹69,900"
iPhone 13 (128GB) - Pink,"₹52,999"
iPhone 15 Plus (128 GB) - Black,"₹59,900"
iPhone 14 (128 GB) - Blue,"₹61,999"
iPhone 14 Plus (128 GB) - Blue,"₹79,900"
iPhone 15 Pro (256 GB) - Natural Titanium,"₹52,499"
iPhone 14 Plus (256 GB) - Yellow,"₹69,900"
iPhone 14 (128 GB) - Purple,"₹75,900"
iPhone 15 Pro Max (256 GB) - Natural Titanium,"₹79,900"
iPhone 15 (128 GB) - Green,"₹52,499"
iPhone 15 (128 GB) - Pink,"₹69,900"
